id,title,pp,txWords,spCount,roles,rolesM,rolesF,genre,class
L0001,"Time Tries All!",23,10037,471,8,6,2,D.,DRAMA
   L0012,"The Crèole; or, Love's Fetters : VPP edition",46,16964,749,13,10,3,M.D.,MELODRAMA
   L0013,"Novelty Fair; or, Hints for 1851",23,6831,177,20,0,0,Rev.,UNC
   L0039,"Belphegor, or the Mountebank and his Wife: TEI edition",48,18842,1106,18,15,3,D.,DRAMA
   L0042R,"High life below stairs: A farce.",47,8108,543,3,3,0,F.,FARCE
   L0048,"Apartments, Visitors to the Exhibition may be Accommodated, &amp;c. &amp;c.",13,4404,303,3,1,2,F.,FARCE
   L0053,"Anything for a Change",36,7127,381,6,3,3,F.,FARCE
   L0057R,"A new way to pay old debts.",67,17870,737,22,16,6,C.,COMEDY
   L0066,"A Thumping Legacy",16,5835,453,8,7,1,F.,FARCE
   L0073,"Box and Cox",17,6309,396,3,2,1,F.,FARCE
   L0075,"An Organic Affection",19,6981,426,9,7,2,F.,FARCE
   L0076,"A Duel in the Dark",16,6537,270,4,2,2,F.,FARCE
   L0082,"El Hyder; the Chief of the Ghat Mountains",24,9600,394,15,11,4,M.D.Spec.,MELODRAMA
   L0105,"The Master Passion",29,10179,655,11,7,4,C.,COMEDY
   L0106,"The Prima Donna",21,8627,459,5,3,2,F.,FARCE
   L0118,"Betsy Baker! or, Too Attentive by Half",18,6727,348,4,2,2,F.,FARCE
   L0124,"The Loan of a Lover",25,7663,377,6,4,2,Vaud.,SPECTACLE
   L0127,"The Bold Dragoons",26,10021,698,10,7,3,Ba.,BURLETTA
   L0142,"Stage Struck; or, The Loves of Augustus Portarlington and Celestina Beverley",20,7993,337,8,5,3,F.,FARCE
   L0144,"A Desperate Game",22,9018,358,5,3,2,F.,FARCE
   L0157,"A Handsome Husband",27,8717,426,8,4,4,Ba.,BURLETTA
   L0170,"The Camp at the Olympic",22,5691,249,21,8,4,D.Rev.,
   L0179,"The Miller of Derwent Water",25,11372,505,8,6,2,D.,DRAMA
   L0191,"Plot and Passion",54,17413,727,9,6,3,D.,DRAMA
   L0197,"Willikind and Hys Dinah : TEI edition",20,6215,196,8,4,2,Ba.,BURLETTA
   L0201,"The Jacobite",31,9712,473,6,3,3,D.,DRAMA
   L0206,"'Twould Puzzle a Conjuror!",24,10066,506,10,9,1,F.,FARCE
   L0219,"Waiting for an Omnibus in the Lowther Arcade on a rainy day",14,7026,252,8,4,3,F.,FARCE
   L0228,"Ben Bolt",23,9653,330,9,7,2,D.,DRAMA
   L0250,"A Rough Diamond",26,7217,292,6,4,2,F.,FARCE
   L0271,"The Golden Branch",29,8833,441,15,9,6,Ext.,SPECTACLE
   L0283,"Sleeping Beauty in the Wood",30,7456,385,27,9,18,Ext.,SPECTACLE
   L0296,"The Irish Post",33,9701,561,12,7,3,F.,FARCE
   L0321,"The Garrick Fever",24,6368,353,23,16,7,F.,FARCE
